Suburb,Offence,Alcohol,2014,2015,2016,2017,2018
Allgomera,Domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Allgomera,Domestic violence related assault ,Not Alcohol Related ,0,0,0,2,1
Allgomera,Non-domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Allgomera,Non-domestic violence related assault ,Not Alcohol Related ,0,0,0,0,1
Allgomera,Offensive conduct ,Alcohol Related ,0,0,0,0,0
Allgomera,Offensive conduct ,Not Alcohol Related ,0,0,0,0,0
Allgomera,Offensive language ,Alcohol Related ,0,0,0,0,0
Allgomera,Offensive language ,Not Alcohol Related ,0,0,0,0,0
Allworth,Domestic violence related assault ,Alcohol Related ,0,1,0,0,0
Allworth,Domestic violence related assault ,Not Alcohol Related ,0,1,2,1,2
Allworth,Non-domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Allworth,Non-domestic violence related assault ,Not Alcohol Related ,1,0,1,0,0
Allworth,Offensive conduct ,Alcohol Related ,0,0,0,0,0
Allworth,Offensive conduct ,Not Alcohol Related ,0,0,0,0,0
Allworth,Offensive language ,Alcohol Related ,0,0,0,0,0
Allworth,Offensive language ,Not Alcohol Related ,0,0,0,0,0
Allynbrook,Domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Allynbrook,Domestic violence related assault ,Not Alcohol Related ,0,0,0,0,0
Allynbrook,Non-domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Allynbrook,Non-domestic violence related assault ,Not Alcohol Related ,0,0,0,0,0
Allynbrook,Offensive conduct ,Alcohol Related ,1,0,0,0,0
Allynbrook,Offensive conduct ,Not Alcohol Related ,0,0,0,0,0
Allynbrook,Offensive language ,Alcohol Related ,0,0,0,0,0
Allynbrook,Offensive language ,Not Alcohol Related ,0,0,0,0,0
Alpine,Domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Alpine,Domestic violence related assault ,Not Alcohol Related ,0,0,0,2,0
Alpine,Non-domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Alpine,Non-domestic violence related assault ,Not Alcohol Related ,0,0,0,0,0
Alpine,Offensive conduct ,Alcohol Related ,0,0,0,0,0
Alpine,Offensive conduct ,Not Alcohol Related ,0,0,0,0,0
Alpine,Offensive language ,Alcohol Related ,0,0,0,0,0
Alpine,Offensive language ,Not Alcohol Related ,0,0,0,0,0
Alstonvale,Domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Alstonvale,Domestic violence related assault ,Not Alcohol Related ,7,2,0,1,0
Alstonvale,Non-domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Alstonvale,Non-domestic violence related assault ,Not Alcohol Related ,1,4,0,1,0
Alstonvale,Offensive conduct ,Alcohol Related ,0,0,0,0,0
Alstonvale,Offensive conduct ,Not Alcohol Related ,0,0,0,0,0
Alstonvale,Offensive language ,Alcohol Related ,0,0,0,0,0
Alstonvale,Offensive language ,Not Alcohol Related ,0,0,0,0,0
Alstonville,Domestic violence related assault ,Alcohol Related ,2,2,1,1,3
Alstonville,Domestic violence related assault ,Not Alcohol Related ,9,4,3,5,3
Alstonville,Non-domestic violence related assault ,Alcohol Related ,1,5,3,6,9
Alstonville,Non-domestic violence related assault ,Not Alcohol Related ,10,10,7,14,4
Alstonville,Offensive conduct ,Alcohol Related ,0,0,0,2,1
Alstonville,Offensive conduct ,Not Alcohol Related ,0,0,2,1,1
Alstonville,Offensive language ,Alcohol Related ,0,0,0,0,0
Alstonville,Offensive language ,Not Alcohol Related ,0,0,0,0,0
Alumy Creek,Domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Alumy Creek,Domestic violence related assault ,Not Alcohol Related ,0,1,1,0,0
Alumy Creek,Non-domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Alumy Creek,Non-domestic violence related assault ,Not Alcohol Related ,0,0,0,0,0
Alumy Creek,Offensive conduct ,Alcohol Related ,0,0,0,0,0
Alumy Creek,Offensive conduct ,Not Alcohol Related ,0,0,0,0,0
Alumy Creek,Offensive language ,Alcohol Related ,0,0,0,0,0
Alumy Creek,Offensive language ,Not Alcohol Related ,0,0,0,0,0
Ambarvale,Domestic violence related assault ,Alcohol Related ,22,16,9,16,10
Ambarvale,Domestic violence related assault ,Not Alcohol Related ,65,52,50,39,49
Ambarvale,Non-domestic violence related assault ,Alcohol Related ,13,8,7,13,5
Ambarvale,Non-domestic violence related assault ,Not Alcohol Related ,30,27,28,20,7
Ambarvale,Offensive conduct ,Alcohol Related ,1,0,2,2,1
Ambarvale,Offensive conduct ,Not Alcohol Related ,0,1,3,1,2
Ambarvale,Offensive language ,Alcohol Related ,0,2,2,0,0
Ambarvale,Offensive language ,Not Alcohol Related ,4,1,6,3,6
Anambah,Domestic violence related assault ,Alcohol Related ,0,0,0,1,0
Anambah,Domestic violence related assault ,Not Alcohol Related ,0,0,0,0,0
Anambah,Non-domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Anambah,Non-domestic violence related assault ,Not Alcohol Related ,0,0,0,0,0
Anambah,Offensive conduct ,Alcohol Related ,0,0,0,0,0
Anambah,Offensive conduct ,Not Alcohol Related ,0,0,0,0,0
Anambah,Offensive language ,Alcohol Related ,0,0,0,0,0
Anambah,Offensive language ,Not Alcohol Related ,0,0,0,0,0
Angledale,Domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Angledale,Domestic violence related assault ,Not Alcohol Related ,0,0,0,0,0
Angledale,Non-domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Angledale,Non-domestic violence related assault ,Not Alcohol Related ,0,1,1,0,0
Angledale,Offensive conduct ,Alcohol Related ,0,0,0,0,0
Angledale,Offensive conduct ,Not Alcohol Related ,0,0,0,0,0
Angledale,Offensive language ,Alcohol Related ,0,0,0,0,0
Angledale,Offensive language ,Not Alcohol Related ,0,0,0,0,0
Angledool,Domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Angledool,Domestic violence related assault ,Not Alcohol Related ,0,0,0,1,0
Angledool,Non-domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Angledool,Non-domestic violence related assault ,Not Alcohol Related ,0,0,0,0,0
Angledool,Offensive conduct ,Alcohol Related ,0,0,0,0,0
Angledool,Offensive conduct ,Not Alcohol Related ,0,0,0,0,0
Angledool,Offensive language ,Alcohol Related ,0,0,0,0,0
Angledool,Offensive language ,Not Alcohol Related ,0,0,0,0,0
Angourie,Domestic violence related assault ,Alcohol Related ,0,1,0,0,1
Angourie,Domestic violence related assault ,Not Alcohol Related ,0,0,0,0,0
Angourie,Non-domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Angourie,Non-domestic violence related assault ,Not Alcohol Related ,0,0,0,3,0
Angourie,Offensive conduct ,Alcohol Related ,0,0,0,0,0
Angourie,Offensive conduct ,Not Alcohol Related ,0,0,0,0,0
Angourie,Offensive language ,Alcohol Related ,0,0,0,0,0
Angourie,Offensive language ,Not Alcohol Related ,0,0,0,0,0
Anna Bay,Domestic violence related assault ,Alcohol Related ,7,7,5,4,12
Anna Bay,Domestic violence related assault ,Not Alcohol Related ,10,10,17,7,19
Anna Bay,Non-domestic violence related assault ,Alcohol Related ,2,12,4,3,6
Anna Bay,Non-domestic violence related assault ,Not Alcohol Related ,6,6,3,17,5
Anna Bay,Offensive conduct ,Alcohol Related ,4,0,0,0,0
Anna Bay,Offensive conduct ,Not Alcohol Related ,0,0,1,0,0
